 ATC code,Name,DDD,U,Adm.R,Note,href
C01CX09,angiotensin II,,,,,https://www.whocc.no/atc_ddd_index/?code=C01CX&showdescription=no
C01DA02,glyceryl trinitrate,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA02,,2.5,mg,oral aerosol,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA02,,2.5,mg,SL,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA02,,5,mg,TD,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA04,methylpropylpropanediol dinitrate,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA05,pentaerithrityl tetranitrate,0.12,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA07,propatylnitrate,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA08,isosorbide dinitrate,60,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA08,,20,mg,oral aerosol,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA08,,20,mg,SL,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA08,,0.1,g,TD,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA09,trolnitrate,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA13,eritrityl tetranitrate,90,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA14,isosorbide mononitrate,40,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA20,organic nitrates in combination,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA38,tenitramine,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA52,"glyceryl trinitrate, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA54,"methylpropylpropanediol dinitrate, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA55,"pentaerithrityl tetranitrate, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA57,"propatylnitrate, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA58,"isosorbide dinitrate, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA59,"trolnitrate, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA63,"eritrityl tetranitrate, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DA70,organic nitrates in combination with psycholeptics,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DA&showdescription=no
C01DB01,flosequinan,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DB&showdescription=no
C01DX01,itramin tosilate,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX02,prenylamine,0.12,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX03,oxyfedrine,40,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX03,,40,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX04,benziodarone,0.25,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX05,carbocromen,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX06,hexobendine,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX07,etafenone,0.225,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX08,heptaminol,0.45,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX08,,0.45,g,P,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX09,imolamine,90,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX10,dilazep,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX11,trapidil,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX12,molsidomine,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX13,efloxate,0.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX14,cinepazet,0.9,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX15,cloridarol,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX16,nicorandil,40,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX18,linsidomine,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX19,nesiritide,1.5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX21,serelaxin,,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX22,vericiguat,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX51,"itramin tosilate, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX52,"prenylamine, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX53,"oxyfedrine, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01DX54,"benziodarone, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C01DX&showdescription=no
C01EA01,alprostadil,0.5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C01EA&showdescription=no
C01EB02,camphora,0.15,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB03,indometacin,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB04,crataegus glycosides,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB05,creatinolfosfate,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB06,fosfocreatine,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB07,"fructose 1,6-diphosphate",,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB09,ubidecarenone,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB10,adenosine,15,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB11,tiracizine,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB13,acadesine,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB15,trimetazidine,40,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB16,ibuprofen,30,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB17,ivabradine,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB18,ranolazine,1.5,g,O,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB21,regadenoson,0.4,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB22,meldonium,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB23,tiazotic acid,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C01EB24,mavacamten,,,,,https://www.whocc.no/atc_ddd_index/?code=C01EB&showdescription=no
C02AA01,rescinnamine,,,,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA02,reserpine,0.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA02,,0.5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA03,combinations of rauwolfia alkaloids,,,,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA04,"rauwolfia alkaloids, whole root",,,,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA05,deserpidine,,,,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA06,methoserpidine,,,,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA07,bietaserpine,15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA52,"reserpine, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA53,"combinations of rauwolfia alkoloids, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AA57,"bietaserpine, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C02AA&showdescription=no
C02AB01,methyldopa (levorotatory),1,g,O,,https://www.whocc.no/atc_ddd_index/?code=C02AB&showdescription=no
C02AB01,,1,g,P,,https://www.whocc.no/atc_ddd_index/?code=C02AB&showdescription=no
C02AB02,methyldopa (racemic),2,g,O,,https://www.whocc.no/atc_ddd_index/?code=C02AB&showdescription=no
C02AC01,clonidine,0.45,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02AC&showdescription=no
C02AC01,,0.45,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C02AC&showdescription=no
C02AC02,guanfacine,3,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02AC&showdescription=no
C02AC04,tolonidine,0.75,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02AC&showdescription=no
C02AC05,moxonidine,0.3,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02AC&showdescription=no
C02AC06,rilmenidine,,,,,https://www.whocc.no/atc_ddd_index/?code=C02AC&showdescription=no
C02BA01,trimetaphan,0.25,g,P,,https://www.whocc.no/atc_ddd_index/?code=C02BA&showdescription=no
C02BB01,mecamylamine,,,,,https://www.whocc.no/atc_ddd_index/?code=C02BB&showdescription=no
C02CA01,prazosin,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02CA&showdescription=no
C02CA02,indoramin,,,,,https://www.whocc.no/atc_ddd_index/?code=C02CA&showdescription=no
C02CA03,trimazosin,0.3,g,O,,https://www.whocc.no/atc_ddd_index/?code=C02CA&showdescription=no
C02CA04,doxazosin,4,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02CA&showdescription=no
C02CA06,urapidil,0.12,g,O,,https://www.whocc.no/atc_ddd_index/?code=C02CA&showdescription=no
C02CA06,,50,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C02CA&showdescription=no
C02CC01,betanidine,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=C02CC&showdescription=no
C02CC02,guanethidine,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02CC&showdescription=no
C02CC03,guanoxan,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02CC&showdescription=no
C02CC04,debrisoquine,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02CC&showdescription=no
C02CC05,guanoclor,,,,,https://www.whocc.no/atc_ddd_index/?code=C02CC&showdescription=no
C02CC06,guanazodine,,,,,https://www.whocc.no/atc_ddd_index/?code=C02CC&showdescription=no
C02CC07,guanoxabenz,25,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02CC&showdescription=no
C02DA01,diazoxide,0.3,g,P,,https://www.whocc.no/atc_ddd_index/?code=C02DA&showdescription=no
C02DB01,dihydralazine,75,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02DB&showdescription=no
C02DB01,,25,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C02DB&showdescription=no
C02DB02,hydralazine,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=C02DB&showdescription=no
C02DB03,endralazine,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02DB&showdescription=no
C02DB04,cadralazine,15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02DB&showdescription=no
C02DC01,minoxidil,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02DC&showdescription=no
C02DD01,nitroprusside,50,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C02DD&showdescription=no
C02DG01,pinacidil,50,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02DG&showdescription=no
C02KA01,veratrum,,,,,https://www.whocc.no/atc_ddd_index/?code=C02KA&showdescription=no
C02KB01,metirosine,,,,,https://www.whocc.no/atc_ddd_index/?code=C02KB&showdescription=no
C02KC01,pargyline,,,,,https://www.whocc.no/atc_ddd_index/?code=C02KC&showdescription=no
C02KD01,ketanserin,40,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02KD&showdescription=no
C02KD01,,40,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C02KD&showdescription=no
C02KX01,bosentan,0.25,g,O,,https://www.whocc.no/atc_ddd_index/?code=C02KX&showdescription=no
C02KX02,ambrisentan,7.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02KX&showdescription=no
C02KX03,sitaxentan,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=C02KX&showdescription=no
C02KX04,macitentan,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02KX&showdescription=no
C02KX05,riociguat,4.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C02KX&showdescription=no
C02KX52,ambrisentan and tadalafil,,,,,https://www.whocc.no/atc_ddd_index/?code=C02KX&showdescription=no
C02KX54,macitentan and tadalafil,,,,,https://www.whocc.no/atc_ddd_index/?code=C02KX&showdescription=no
C02LA01,reserpine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA02,rescinnamine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA03,deserpidine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA04,methoserpidine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA07,bietaserpine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA08,"rauwolfia alkaloids, whole root and diuretics",,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA09,syrosingopine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA50,combination of rauwolfia alkaloids and diuretics incl. other combinations,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA51,"reserpine and diuretics, combinations with other drugs",,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA52,"rescinnamine and diuretics, combinations with other drugs",,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LA71,"reserpine and diuretics, combinations with psycholeptics",,,,,https://www.whocc.no/atc_ddd_index/?code=C02LA&showdescription=no
C02LB01,methyldopa (levorotatory) and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LB&showdescription=no
C02LC01,clonidine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LC&showdescription=no
C02LC05,moxonidine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LC&showdescription=no
C02LC51,"clonidine and diuretics, combinations with other drugs",,,,,https://www.whocc.no/atc_ddd_index/?code=C02LC&showdescription=no
C02LE01,prazosin and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LE&showdescription=no
C02LF01,guanethidine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LF&showdescription=no
C02LG01,dihydralazine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LG&showdescription=no
C02LG02,hydralazine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LG&showdescription=no
C02LG03,picodralazine and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LG&showdescription=no
C02LG51,"dihydralazine and diuretics, combinations with other drugs",,,,,https://www.whocc.no/atc_ddd_index/?code=C02LG&showdescription=no
C02LG73,"picodralazine and diuretics, combinations with psycholeptics",,,,,https://www.whocc.no/atc_ddd_index/?code=C02LG&showdescription=no
C02LK01,veratrum and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LK&showdescription=no
C02LL01,pargyline and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LL&showdescription=no
C02LX01,pinacidil and diuretics,,,,,https://www.whocc.no/atc_ddd_index/?code=C02LX&showdescription=no
C03AA01,bendroflumethiazide,2.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AA02,hydroflumethiazide,25,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AA03,hydrochlorothiazide,25,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AA04,chlorothiazide,0.5,g,O,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AA05,polythiazide,1,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AA06,trichlormethiazide,4,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AA07,cyclopenthiazide,0.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AA08,methyclothiazide,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AA09,cyclothiazide,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AA13,mebutizide,,,,,https://www.whocc.no/atc_ddd_index/?code=C03AA&showdescription=no
C03AB01,bendroflumethiazide and potassium,2.5,mg,O,Refers to bendroflumethiazide,https://www.whocc.no/atc_ddd_index/?code=C03AB&showdescription=no
C03AB02,hydroflumethiazide and potassium,25,mg,O,Refers to hydroflumethiazide,https://www.whocc.no/atc_ddd_index/?code=C03AB&showdescription=no
C03AB03,hydrochlorothiazide and potassium,25,mg,O,Refers to hydrochlorothiazide,https://www.whocc.no/atc_ddd_index/?code=C03AB&showdescription=no
C03AB04,chlorothiazide and potassium,0.5,g,O,Refers to chlorothiazide,https://www.whocc.no/atc_ddd_index/?code=C03AB&showdescription=no
C03AB05,polythiazide and potassium,1,mg,O,Refers to polythiazide,https://www.whocc.no/atc_ddd_index/?code=C03AB&showdescription=no
C03AB06,trichlormethiazide and potassium,4,mg,O,Refers to trichlormethiazide,https://www.whocc.no/atc_ddd_index/?code=C03AB&showdescription=no
C03AB07,cyclopenthiazide and potassium,0.5,mg,O,Refers to cyclopenthiazide,https://www.whocc.no/atc_ddd_index/?code=C03AB&showdescription=no
C03AB08,methyclothiazide and potassium,5,mg,O,Refers to methyclothiazide,https://www.whocc.no/atc_ddd_index/?code=C03AB&showdescription=no
C03AB09,cyclothiazide and potassium,5,mg,O,Refers to cyclothiazide,https://www.whocc.no/atc_ddd_index/?code=C03AB&showdescription=no
C03AH01,"chlorothiazide, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C03AH&showdescription=no
C03AH02,"hydroflumethiazide, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C03AH&showdescription=no
C03AX01,"hydrochlorothiazide, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=C03AX&showdescription=no
C03BA02,quinethazone,50,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA03,clopamide,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA04,chlortalidone,25,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA05,mefruside,25,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA07,clofenamide,,,,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA08,metolazone,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA09,meticrane,,,,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA10,xipamide,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA11,indapamide,2.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA12,clorexolone,,,,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA13,fenquizone,,,,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BA82,"clorexolone, combinations with psycholeptics",,,,,https://www.whocc.no/atc_ddd_index/?code=C03BA&showdescription=no
C03BB02,quinethazone and potassium,50,mg,O,Refers to quinethazone,https://www.whocc.no/atc_ddd_index/?code=C03BB&showdescription=no
C03BB03,clopamide and potassium,10,mg,O,Refers to clopamide,https://www.whocc.no/atc_ddd_index/?code=C03BB&showdescription=no
C03BB04,chlortalidone and potassium,25,mg,O,Refers to chlortalidone,https://www.whocc.no/atc_ddd_index/?code=C03BB&showdescription=no
C03BB05,mefruside and potassium,25,mg,O,Refers to mefruside,https://www.whocc.no/atc_ddd_index/?code=C03BB&showdescription=no
C03BB07,clofenamide and potassium,,,,,https://www.whocc.no/atc_ddd_index/?code=C03BB&showdescription=no
C03BC01,mersalyl,,,,,https://www.whocc.no/atc_ddd_index/?code=C03BC&showdescription=no
C03BD01,theobromine,4,g,O,,https://www.whocc.no/atc_ddd_index/?code=C03BD&showdescription=no
C03BX03,cicletanine,,,,,https://www.whocc.no/atc_ddd_index/?code=C03BX&showdescription=no
C03CA01,furosemide,40,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03CA&showdescription=no
C03CA01,,40,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C03CA&showdescription=no
C03CA02,bumetanide,1,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03CA&showdescription=no
C03CA02,,1,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C03CA&showdescription=no
C03CA03,piretanide,,,,,https://www.whocc.no/atc_ddd_index/?code=C03CA&showdescription=no
C03CA04,torasemide,15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03CA&showdescription=no
C03CA04,,15,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C03CA&showdescription=no
C03CB01,furosemide and potassium,40,mg,O,Refers to furosemide,https://www.whocc.no/atc_ddd_index/?code=C03CB&showdescription=no
C03CB02,bumetanide and potassium,1,mg,O,Refers to bumetanide,https://www.whocc.no/atc_ddd_index/?code=C03CB&showdescription=no
C03CC01,etacrynic acid,50,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03CC&showdescription=no
C03CC01,,50,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C03CC&showdescription=no
C03CC02,tienilic acid,,,,,https://www.whocc.no/atc_ddd_index/?code=C03CC&showdescription=no
C03CD01,muzolimine,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03CD&showdescription=no
C03CX01,etozolin,,,,,https://www.whocc.no/atc_ddd_index/?code=C03CX&showdescription=no
C03DA01,spironolactone,75,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03DA&showdescription=no
C03DA02,potassium canrenoate,0.4,g,P,,https://www.whocc.no/atc_ddd_index/?code=C03DA&showdescription=no
C03DA03,canrenone,,,,,https://www.whocc.no/atc_ddd_index/?code=C03DA&showdescription=no
C03DA04,eplerenone,50,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03DA&showdescription=no
C03DA05,finerenone,,,,,https://www.whocc.no/atc_ddd_index/?code=C03DA&showdescription=no
C03DB01,amiloride,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03DB&showdescription=no
C03DB02,triamterene,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=C03DB&showdescription=no
C03EA01,hydrochlorothiazide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EA02,trichlormethiazide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EA03,epitizide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EA04,altizide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EA05,mebutizide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EA06,chlortalidone and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EA07,cyclopenthiazide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EA12,metolazone and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EA13,bendroflumethiazide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EA14,butizide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EA&showdescription=no
C03EB01,furosemide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EB&showdescription=no
C03EB02,bumetanide and potassium-sparing agents,,,,,https://www.whocc.no/atc_ddd_index/?code=C03EB&showdescription=no
C03XA01,tolvaptan,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C03XA&showdescription=no
C03XA02,conivaptan,,,,,https://www.whocc.no/atc_ddd_index/?code=C03XA&showdescription=no
C04AA01,isoxsuprine,60,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C04AA&showdescription=no
C04AA01,,60,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C04AA&showdescription=no
C04AA02,buphenine,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C04AA&showdescription=no
C04AA31,bamethan,75,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C04AA&showdescription=no
C04AB01,phentolamine,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C04AB&showdescription=no
C04AB01,,10,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C04AB&showdescription=no
C04AB02,tolazoline,75,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C04AB&showdescription=no
C04AC01,nicotinic acid,0.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=C04AC&showdescription=no
C04AC01,,0.2,g,P,,https://www.whocc.no/atc_ddd_index/?code=C04AC&showdescription=no
C04AC02,nicotinyl alcohol (pyridylcarbinol),0.3,g,O,,https://www.whocc.no/atc_ddd_index/?code=C04AC&showdescription=no
C04AC02,,0.3,g,P,,https://www.whocc.no/atc_ddd_index/?code=C04AC&showdescription=no
C04AC03,inositol nicotinate,1.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=C04AC&showdescription=no
C04AC07,ciclonicate,,,,,https://www.whocc.no/atc_ddd_index/?code=C04AC&showdescription=no
C04AD01,pentifylline,,,,,https://www.whocc.no/atc_ddd_index/?code=C04AD&showdescription=no
C04AD02,xantinol nicotinate,0.9,g,O,,https://www.whocc.no/atc_ddd_index/?code=C04AD&showdescription=no
C04AD02,,0.9,g,P,,https://www.whocc.no/atc_ddd_index/?code=C04AD&showdescription=no
C04AD03,pentoxifylline,1,g,O,,https://www.whocc.no/atc_ddd_index/?code=C04AD&showdescription=no
C04AD03,,0.3,g,P,,https://www.whocc.no/atc_ddd_index/?code=C04AD&showdescription=no
C04AD04,etofylline nicotinate,0.3,g,O,,https://www.whocc.no/atc_ddd_index/?code=C04AD&showdescription=no
C04AE01,ergoloid mesylates,3,mg,O,,https://www.whocc.no/atc_ddd_index/?code=C04AE&showdescription=no
C04AE01,,3,mg,P,,https://www.whocc.no/atc_ddd_index/?code=C04AE&showdescription=no
